ID 	SX 	VG 	VE 	VF 
66 	0 	-0.027 	0.316 	0.289 
67 	0 	0.247 	-3.978 	-3.730 
68 	0 	1.345 	-2.434 	-1.089 
69 	0 	-0.264 	-1.138 	-1.402 
70 	0 	0.357 	1.494 	1.850 
71 	1 	-1.062 	1.796 	0.734 
72 	0 	1.750 	1.004 	2.754 
73 	1 	-0.797 	-0.880 	-1.677 
74 	0 	-1.241 	-0.388 	-1.629 
75 	0 	0.561 	-1.461 	-0.900 
76 	0 	0.925 	-3.309 	-2.384 
77 	1 	-0.704 	-1.178 	-1.882 
78 	1 	-0.383 	-2.384 	-2.767 
79 	0 	1.203 	0.745 	1.949 
80 	1 	-0.484 	-0.685 	-1.169 
81 	1 	-0.683 	-0.458 	-1.141 
82 	0 	1.198 	2.110 	3.308 
83 	0 	0.547 	1.637 	2.185 
84 	0 	1.246 	-1.438 	-0.192 
85 	0 	1.693 	-2.166 	-0.474 
86 	0 	0.070 	4.285 	4.355 
87 	0 	-1.028 	2.625 	1.597 
88 	1 	-0.835 	2.286 	1.451 
89 	0 	0.501 	-0.093 	0.408 
90 	0 	-1.867 	0.175 	-1.692 
91 	1 	0.577 	-2.229 	-1.653 
92 	0 	-1.510 	-1.471 	-2.981 
93 	1 	1.924 	-2.733 	-0.809 
94 	1 	-2.134 	-0.786 	-2.920 
95 	0 	-1.011 	-0.411 	-1.422 
96 	0 	0.825 	3.528 	4.353 
97 	0 	-1.152 	0.215 	-0.937 
98 	1 	2.039 	3.267 	5.306 
99 	1 	-0.500 	-3.036 	-3.536 
100 	1 	-0.421 	2.944 	2.522 
101 	1 	-0.943 	5.384 	4.440 
102 	1 	-0.154 	0.998 	0.844 
103 	0 	1.200 	-1.637 	-0.437 
104 	0 	1.570 	1.902 	3.473 
105 	0 	-0.395 	-1.652 	-2.047 
106 	1 	0.247 	-0.267 	-0.020 
107 	0 	0.404 	-0.034 	0.369 
108 	1 	2.826 	-2.623 	0.203 
109 	0 	1.186 	-1.018 	0.168 
110 	1 	1.446 	-3.539 	-2.093 
111 	1 	0.876 	0.623 	1.499 
112 	0 	-1.465 	3.068 	1.603 
113 	0 	-0.989 	0.233 	-0.755 
114 	0 	-0.206 	2.598 	2.392 
115 	1 	-1.881 	-5.567 	-7.448 
116 	1 	0.254 	1.374 	1.628 
117 	1 	-0.266 	3.457 	3.191 
118 	1 	1.716 	0.795 	2.511 
119 	0 	-0.074 	3.931 	3.857 
120 	0 	-0.185 	2.413 	2.228 
121 	0 	-0.224 	-3.143 	-3.367 
122 	1 	-0.500 	-0.943 	-1.443 
123 	0 	0.702 	-3.097 	-2.395 
124 	1 	0.245 	-0.917 	-0.672 
125 	1 	0.374 	3.710 	4.084 
126 	1 	-1.103 	0.242 	-0.861 
127 	0 	0.628 	-1.988 	-1.359 
128 	1 	-0.264 	0.487 	0.223 
129 	0 	-1.257 	-1.086 	-2.342 
130 	0 	0.055 	2.506 	2.561 
131 	0 	-0.086 	-1.307 	-1.393 
132 	1 	0.819 	-1.452 	-0.633 
133 	0 	1.123 	-1.405 	-0.282 
134 	0 	-1.235 	-1.436 	-2.671 
135 	0 	1.466 	-1.484 	-0.018 
136 	1 	-0.311 	0.269 	-0.042 
137 	1 	-0.305 	-0.751 	-1.056 
138 	1 	0.140 	3.151 	3.290 
139 	1 	0.519 	1.328 	1.847 
140 	1 	0.029 	0.790 	0.819 
141 	1 	-0.671 	-0.095 	-0.765 
142 	1 	1.180 	-1.052 	0.128 
143 	1 	-0.829 	-0.943 	-1.772 
144 	1 	-0.271 	-3.613 	-3.883 
145 	1 	-0.813 	-1.591 	-2.405 
146 	1 	1.507 	1.010 	2.518 
147 	0 	0.448 	1.702 	2.150 
148 	1 	-0.182 	-4.377 	-4.559 
149 	0 	0.575 	3.849 	4.423 
150 	0 	-0.452 	-3.673 	-4.126 
151 	0 	-1.498 	-0.483 	-1.980 
152 	0 	0.144 	1.705 	1.849 
153 	0 	-1.493 	0.792 	-0.701 
154 	1 	-0.826 	-0.159 	-0.984 
155 	0 	1.491 	-1.652 	-0.161 
156 	0 	-1.041 	0.746 	-0.295 
157 	1 	0.547 	-2.314 	-1.767 
158 	0 	0.138 	0.750 	0.888 
159 	1 	-2.173 	0.731 	-1.442 
160 	0 	1.122 	0.891 	2.013 
161 	1 	-1.452 	-1.157 	-2.609 
162 	0 	-1.519 	2.141 	0.622 
163 	1 	0.105 	2.070 	2.175 
164 	0 	-0.719 	-1.249 	-1.968 
165 	1 	-1.409 	-1.398 	-2.807 
166 	1 	0.421 	-1.004 	-0.583 
167 	1 	-0.027 	-0.120 	-0.147 
168 	0 	0.083 	-1.047 	-0.964 
169 	0 	-0.424 	1.984 	1.560 
170 	1 	-2.350 	-1.676 	-4.026 
171 	0 	0.890 	-0.898 	-0.008 
172 	0 	0.592 	1.890 	2.482 
173 	0 	0.191 	1.143 	1.334 
174 	0 	0.633 	-0.713 	-0.080 
175 	1 	0.103 	0.665 	0.768 
176 	0 	-0.709 	-0.849 	-1.558 
177 	1 	-0.275 	0.033 	-0.241 
178 	0 	0.421 	1.779 	2.201 
179 	0 	0.862 	2.126 	2.988 
180 	1 	-0.546 	2.576 	2.030 
181 	0 	-1.092 	-3.590 	-4.682 
182 	1 	1.223 	0.362 	1.585 
183 	1 	-0.257 	1.494 	1.237 
184 	0 	-1.244 	0.119 	-1.126 
185 	0 	0.071 	0.759 	0.830 
186 	0 	2.042 	0.220 	2.262 
187 	0 	0.384 	-1.817 	-1.433 
188 	1 	0.787 	-2.741 	-1.954 
189 	1 	1.847 	4.151 	5.998 
190 	0 	-0.511 	0.065 	-0.447 
191 	1 	0.002 	-1.311 	-1.309 
192 	0 	2.149 	-5.159 	-3.011 
193 	1 	1.002 	5.093 	6.096 
194 	1 	-0.128 	3.694 	3.566 
195 	1 	1.924 	-0.355 	1.569 
196 	0 	-0.959 	0.559 	-0.400 
197 	1 	-0.974 	3.729 	2.755 
198 	1 	0.523 	1.920 	2.444 
199 	0 	-1.420 	1.085 	-0.335 
200 	1 	0.317 	1.531 	1.848 
201 	0 	-0.214 	-2.512 	-2.726 
202 	1 	-0.627 	-0.663 	-1.290 
203 	1 	0.324 	0.441 	0.765 
204 	0 	1.220 	-2.522 	-1.302 
205 	1 	-0.736 	-2.407 	-3.143 
206 	1 	-1.359 	-0.050 	-1.409 
207 	0 	0.334 	2.246 	2.581 
208 	0 	-0.447 	-4.569 	-5.015 
209 	1 	0.400 	-1.221 	-0.821 
210 	0 	1.861 	-0.745 	1.116 
211 	0 	-0.933 	-0.324 	-1.258 
212 	0 	-1.784 	0.481 	-1.303 
213 	1 	0.178 	2.044 	2.222 
214 	1 	0.980 	-2.117 	-1.137 
215 	0 	0.206 	-1.104 	-0.898 
216 	1 	-0.360 	1.323 	0.963 
217 	1 	0.184 	0.733 	0.918 
218 	1 	-0.168 	0.569 	0.402 
219 	1 	-0.827 	-1.315 	-2.142 
220 	1 	0.570 	1.592 	2.163 
221 	1 	0.663 	0.543 	1.206 
222 	0 	-2.352 	3.062 	0.709 
223 	1 	-0.260 	-1.916 	-2.176 
224 	0 	-0.043 	-1.981 	-2.024 
225 	0 	-0.812 	1.577 	0.765 
226 	0 	1.190 	-1.504 	-0.314 
227 	0 	-0.556 	-0.251 	-0.807 
228 	0 	-0.079 	0.340 	0.261 
229 	0 	-3.705 	0.189 	-3.516 
230 	0 	0.469 	-0.873 	-0.403 
231 	1 	-0.093 	0.964 	0.871 
232 	1 	0.331 	4.106 	4.437 
233 	0 	-1.328 	-2.863 	-4.191 
234 	1 	1.272 	-2.265 	-0.992 
235 	1 	-1.674 	-0.455 	-2.129 
236 	0 	-0.449 	-0.022 	-0.471 
237 	0 	1.141 	-0.544 	0.596 
238 	0 	1.145 	-2.998 	-1.853 
239 	0 	0.561 	-2.583 	-2.022 
240 	0 	-0.895 	1.980 	1.085 
241 	1 	-0.417 	-2.473 	-2.891 
242 	0 	0.896 	0.664 	1.560 
243 	1 	-1.624 	-4.743 	-6.367 
244 	0 	0.734 	0.641 	1.375 
245 	1 	-0.519 	-1.789 	-2.307 
246 	1 	-1.201 	1.531 	0.329 
247 	0 	-0.146 	2.360 	2.213 
248 	0 	-0.660 	-3.481 	-4.141 
249 	1 	0.921 	-1.638 	-0.718 
250 	0 	-0.939 	-4.457 	-5.396 
251 	0 	0.767 	-1.232 	-0.464 
252 	0 	0.118 	-0.564 	-0.446 
253 	1 	-0.760 	2.415 	1.655 
254 	0 	-0.941 	0.280 	-0.661 
255 	0 	-1.367 	1.360 	-0.006 
256 	0 	0.674 	-1.141 	-0.467 
257 	0 	-0.056 	-0.239 	-0.295 
258 	1 	1.030 	1.948 	2.977 
259 	1 	0.271 	0.966 	1.237 
260 	1 	0.106 	1.937 	2.043 
261 	0 	-1.397 	-1.950 	-3.346 
262 	0 	0.464 	1.650 	2.114 
263 	0 	0.978 	2.658 	3.636 
264 	1 	-1.983 	-0.333 	-2.316 
265 	0 	0.392 	2.133 	2.525 
266 	0 	-0.600 	2.348 	1.748 
267 	1 	-0.350 	-0.586 	-0.937 
268 	1 	0.436 	-2.382 	-1.946 
269 	1 	-2.026 	1.511 	-0.515 
270 	1 	-1.463 	-0.318 	-1.780 
271 	0 	0.559 	0.405 	0.964 
272 	0 	0.398 	0.949 	1.347 
273 	1 	1.086 	1.872 	2.958 
274 	1 	-0.503 	-0.920 	-1.423 
275 	0 	1.948 	0.146 	2.094 
276 	0 	0.412 	-1.324 	-0.912 
277 	0 	0.907 	0.230 	1.137 
278 	1 	-0.817 	5.506 	4.688 
279 	1 	-0.557 	-1.015 	-1.572 
280 	1 	-1.378 	-3.530 	-4.908 
281 	0 	-0.304 	-0.284 	-0.588 
282 	1 	-0.147 	-0.758 	-0.905 
283 	1 	-1.626 	0.958 	-0.668 
284 	1 	-1.037 	0.015 	-1.022 
285 	1 	0.205 	2.629 	2.834 
286 	0 	-1.039 	0.567 	-0.472 
287 	1 	0.014 	1.354 	1.367 
288 	0 	1.130 	-1.004 	0.126 
289 	1 	-0.387 	-0.685 	-1.072 
290 	0 	0.970 	-1.005 	-0.035 
291 	0 	0.412 	-2.255 	-1.843 
292 	1 	0.604 	-1.979 	-1.375 
293 	1 	1.636 	-0.859 	0.777 
294 	0 	0.499 	1.854 	2.353 
295 	0 	-0.963 	-0.457 	-1.420 
296 	1 	1.288 	0.908 	2.196 
297 	0 	-1.020 	1.040 	0.020 
298 	1 	-0.809 	-1.571 	-2.380 
299 	1 	-0.534 	0.123 	-0.410 
300 	0 	-0.677 	2.908 	2.231 
301 	1 	0.505 	-0.797 	-0.292 
302 	0 	0.741 	-0.604 	0.137 
303 	0 	-0.114 	-1.018 	-1.132 
304 	1 	-0.625 	-1.611 	-2.236 
305 	1 	0.640 	-2.935 	-2.295 
306 	0 	0.181 	-3.750 	-3.570 
307 	1 	0.665 	1.980 	2.645 
308 	1 	0.581 	-0.992 	-0.411 
309 	0 	-0.603 	0.638 	0.035 
310 	1 	-1.177 	-1.308 	-2.485 
311 	0 	1.548 	-2.209 	-0.661 
312 	0 	-0.197 	1.522 	1.325 
313 	1 	0.765 	1.056 	1.820 
314 	1 	0.922 	1.101 	2.023 
315 	1 	-1.897 	0.884 	-1.013 
316 	1 	-0.263 	-2.654 	-2.917 
317 	0 	1.292 	-2.598 	-1.307 
318 	1 	0.174 	0.897 	1.072 
319 	1 	0.299 	-1.112 	-0.813 
320 	1 	-1.565 	-1.920 	-3.486 
321 	1 	0.946 	0.557 	1.503 
322 	0 	-0.266 	1.221 	0.955 
323 	1 	1.625 	-2.008 	-0.383 
324 	1 	-0.390 	3.153 	2.763 
325 	1 	-0.514 	-3.204 	-3.718 
326 	1 	-1.147 	1.329 	0.182 
327 	0 	0.750 	3.214 	3.964 
328 	0 	-0.289 	1.371 	1.082 
329 	1 	-1.509 	-0.286 	-1.794 
330 	0 	1.147 	0.954 	2.100 
331 	0 	0.043 	2.560 	2.603 
332 	1 	1.491 	1.691 	3.182 
333 	0 	1.281 	3.990 	5.271 
334 	0 	0.996 	-0.445 	0.552 
335 	1 	0.110 	-1.354 	-1.244 
336 	0 	0.525 	1.051 	1.576 
337 	1 	-0.255 	1.106 	0.851 
338 	0 	1.848 	-0.270 	1.578 
339 	1 	-0.489 	2.683 	2.195 
340 	1 	-0.793 	0.679 	-0.114 
341 	1 	-2.379 	-4.691 	-7.070 
342 	1 	-0.806 	-1.895 	-2.702 
343 	1 	1.681 	-1.209 	0.472 
344 	0 	-0.639 	1.401 	0.762 
345 	0 	-1.574 	1.796 	0.222 
346 	0 	-0.110 	-3.949 	-4.059 
347 	1 	-2.169 	0.645 	-1.524 
348 	1 	-0.314 	3.109 	2.795 
349 	0 	-1.004 	-0.505 	-1.508 
350 	1 	-1.127 	1.929 	0.802 
351 	0 	-0.562 	4.537 	3.975 
352 	0 	0.066 	1.254 	1.320 
353 	0 	-1.434 	2.876 	1.442 
354 	1 	-0.427 	0.118 	-0.308 
355 	0 	0.360 	-1.952 	-1.592 
356 	0 	1.814 	-0.717 	1.096 
357 	0 	0.727 	1.607 	2.334 
358 	1 	-0.594 	2.759 	2.165 
359 	1 	1.490 	4.231 	5.721 
360 	1 	1.500 	-3.051 	-1.552 
361 	0 	1.507 	2.353 	3.861 
362 	1 	-0.283 	3.282 	2.999 
363 	0 	-1.222 	0.975 	-0.247 
364 	0 	-0.712 	-3.386 	-4.097 
365 	1 	-0.231 	3.439 	3.207 
366 	0 	0.684 	0.185 	0.868 
367 	1 	-1.867 	2.155 	0.288 
368 	1 	-1.058 	-1.410 	-2.469 
369 	0 	0.141 	-0.080 	0.060 
370 	0 	1.183 	1.117 	2.300 
371 	0 	0.168 	-2.105 	-1.936 
372 	1 	0.710 	-3.580 	-2.869 
373 	1 	-1.571 	-0.548 	-2.119 
374 	0 	-1.351 	2.752 	1.400 
375 	1 	-0.310 	-1.223 	-1.534 
376 	0 	1.205 	-1.826 	-0.621 
377 	0 	1.135 	-1.025 	0.111 
378 	0 	0.524 	0.408 	0.932 
379 	0 	-1.002 	4.074 	3.072 
380 	1 	-0.901 	-0.315 	-1.216 
381 	1 	-0.073 	2.127 	2.054 
382 	0 	0.820 	-2.208 	-1.387 
383 	1 	0.326 	1.200 	1.526 
384 	0 	-1.565 	0.196 	-1.369 
385 	1 	0.376 	1.705 	2.081 
386 	1 	0.735 	2.604 	3.339 
387 	0 	-0.022 	4.423 	4.401 
388 	0 	-0.687 	-4.747 	-5.434 
389 	0 	0.531 	0.515 	1.046 
390 	0 	-0.297 	1.446 	1.149 
391 	0 	0.464 	0.996 	1.461 
392 	0 	0.233 	-1.786 	-1.553 
393 	1 	1.847 	0.112 	1.959 
394 	1 	-0.696 	1.151 	0.455 
395 	0 	1.021 	-1.413 	-0.391 
396 	1 	-0.989 	-0.377 	-1.366 
397 	1 	0.416 	-2.657 	-2.241 
398 	0 	-0.311 	0.570 	0.259 
399 	1 	-1.155 	0.076 	-1.079 
400 	1 	-1.190 	-0.972 	-2.162 
401 	0 	-1.359 	-1.843 	-3.202 
402 	1 	-0.351 	-1.172 	-1.523 
403 	0 	0.107 	-0.458 	-0.351 
404 	0 	-1.676 	3.882 	2.206 
405 	1 	-0.060 	-1.485 	-1.545 
406 	0 	-0.717 	-3.102 	-3.819 
407 	0 	-0.817 	-0.754 	-1.571 
408 	1 	1.159 	1.295 	2.453 
409 	1 	0.162 	3.831 	3.993 
410 	0 	0.227 	-1.459 	-1.232 
411 	1 	0.351 	-2.786 	-2.435 
412 	1 	0.835 	3.827 	4.662 
413 	1 	0.770 	-1.929 	-1.159 
414 	1 	-0.181 	0.470 	0.289 
415 	0 	0.374 	0.128 	0.501 
416 	1 	-0.428 	-4.647 	-5.074 
417 	0 	0.456 	0.688 	1.143 
418 	1 	0.400 	0.235 	0.634 
419 	1 	-1.266 	1.879 	0.613 
420 	1 	0.728 	-0.003 	0.724 
421 	0 	0.967 	-3.524 	-2.557 
422 	1 	0.832 	-1.172 	-0.340 
423 	1 	1.089 	1.702 	2.791 
424 	1 	-0.195 	0.480 	0.285 
425 	1 	0.794 	-2.876 	-2.081 
426 	0 	-0.872 	-2.544 	-3.416 
427 	0 	-0.782 	2.459 	1.677 
428 	0 	1.980 	1.499 	3.479 
429 	0 	-0.558 	-4.399 	-4.958 
430 	0 	0.840 	-4.476 	-3.636 
431 	0 	0.800 	-2.245 	-1.445 
432 	1 	1.012 	-3.145 	-2.133 
433 	0 	1.270 	-1.307 	-0.037 
434 	1 	0.169 	0.488 	0.657 
435 	0 	-0.074 	0.338 	0.264 
436 	0 	-0.070 	0.874 	0.804 
437 	0 	0.369 	-0.994 	-0.625 
438 	1 	-0.898 	-1.553 	-2.450 
439 	1 	0.235 	0.164 	0.398 
440 	1 	-1.460 	2.684 	1.225 
441 	0 	-1.561 	-4.147 	-5.708 
442 	0 	1.168 	-3.358 	-2.190 
443 	1 	-2.003 	0.788 	-1.215 
444 	1 	0.400 	-1.610 	-1.210 
445 	0 	-0.439 	-1.223 	-1.663 
446 	0 	-0.600 	-4.575 	-5.174 
447 	0 	0.208 	-1.136 	-0.928 
448 	1 	-1.505 	-3.944 	-5.448 
449 	0 	-0.036 	-1.657 	-1.693 
450 	1 	-0.147 	1.329 	1.182 
451 	1 	0.950 	-3.447 	-2.497 
452 	0 	-0.001 	-0.771 	-0.771 
453 	0 	-1.162 	0.424 	-0.738 
454 	0 	-0.427 	-1.459 	-1.887 
455 	0 	-1.114 	-1.026 	-2.140 
456 	1 	0.763 	0.811 	1.574 
457 	0 	-0.667 	-3.516 	-4.183 
458 	0 	-2.189 	-0.524 	-2.714 
459 	1 	0.226 	2.141 	2.367 
460 	1 	0.135 	2.581 	2.716 
461 	0 	0.817 	0.739 	1.555 
462 	0 	-0.521 	-3.548 	-4.069 
463 	0 	0.889 	1.777 	2.666 
464 	1 	0.244 	-2.628 	-2.384 
465 	0 	-0.561 	0.842 	0.281 
466 	0 	-0.424 	0.734 	0.310 
467 	1 	-0.471 	0.579 	0.107 
468 	0 	-0.206 	0.210 	0.003 
469 	0 	-0.334 	3.209 	2.875 
470 	0 	0.266 	1.419 	1.685 
471 	1 	1.011 	2.108 	3.119 
472 	0 	-1.325 	-3.299 	-4.623 
473 	1 	1.641 	3.518 	5.158 
474 	0 	1.359 	-3.602 	-2.243 
475 	1 	-0.096 	0.894 	0.797 
476 	1 	-2.587 	-0.504 	-3.091 
477 	0 	-0.939 	-3.363 	-4.301 
478 	0 	0.762 	2.307 	3.069 
479 	1 	1.933 	2.464 	4.398 
480 	0 	-1.299 	-1.420 	-2.719 
481 	0 	0.899 	1.622 	2.521 
482 	1 	-0.192 	-0.584 	-0.776 
483 	1 	1.704 	0.917 	2.621 
484 	1 	-0.279 	0.064 	-0.215 
485 	0 	1.970 	-2.939 	-0.969 
486 	1 	-0.315 	1.456 	1.141 
487 	1 	-1.070 	1.460 	0.390 
488 	1 	2.118 	2.577 	4.695 
489 	0 	-0.707 	1.566 	0.859 
490 	1 	-0.801 	0.528 	-0.273 
491 	0 	-0.571 	-0.698 	-1.269 
492 	0 	1.115 	0.400 	1.515 
493 	0 	-0.417 	0.351 	-0.065 
494 	1 	-0.502 	-0.893 	-1.395 
495 	0 	1.521 	-2.676 	-1.155 
496 	1 	-1.183 	2.321 	1.138 
497 	1 	-0.551 	-0.810 	-1.361 
498 	1 	-0.082 	1.158 	1.076 
499 	1 	0.462 	1.635 	2.097 
500 	0 	1.775 	-1.883 	-0.108 
501 	0 	-1.458 	0.639 	-0.819 
502 	0 	-1.116 	3.830 	2.713 
503 	0 	0.754 	-1.028 	-0.274 
504 	0 	0.298 	-0.952 	-0.654 
505 	0 	-1.069 	0.427 	-0.642 
506 	1 	0.654 	1.970 	2.625 
507 	1 	-0.836 	1.765 	0.929 
508 	1 	0.534 	-1.510 	-0.975 
509 	1 	-0.448 	1.399 	0.951 
510 	1 	0.751 	0.280 	1.031 
511 	0 	-0.513 	-1.024 	-1.537 
512 	0 	1.736 	-0.100 	1.637 
513 	0 	-0.326 	-0.551 	-0.877 
514 	0 	-0.148 	2.250 	2.102 
515 	1 	-0.917 	-2.903 	-3.820 
516 	0 	-0.811 	-0.253 	-1.064 
517 	1 	0.086 	-2.690 	-2.604 
518 	0 	0.912 	-1.388 	-0.476 
519 	1 	-0.416 	1.797 	1.381 
520 	0 	0.719 	-2.489 	-1.770 
521 	1 	0.395 	-0.682 	-0.287 
522 	0 	1.759 	-0.807 	0.951 
523 	0 	0.241 	-1.106 	-0.864 
524 	1 	0.223 	-0.928 	-0.704 
525 	1 	0.196 	0.206 	0.402 
526 	1 	-2.216 	-1.503 	-3.718 
527 	0 	-0.188 	1.031 	0.843 
528 	0 	-0.841 	1.041 	0.200 
529 	1 	-0.456 	-0.543 	-0.999 
530 	1 	1.188 	-2.813 	-1.625 
531 	0 	0.331 	0.664 	0.995 
532 	1 	-1.141 	-0.386 	-1.527 
533 	0 	0.272 	-0.866 	-0.594 
534 	1 	-0.355 	1.826 	1.470 
535 	0 	-0.100 	-1.516 	-1.616 
536 	1 	-0.828 	5.501 	4.672 
537 	1 	0.474 	1.345 	1.819 
538 	1 	-0.415 	-1.439 	-1.853 
539 	0 	1.904 	1.004 	2.909 
540 	0 	1.951 	0.056 	2.007 
541 	0 	1.637 	-2.004 	-0.366 
542 	1 	2.521 	0.916 	3.437 
543 	0 	-0.746 	-1.428 	-2.174 
544 	1 	-0.241 	0.393 	0.152 
545 	0 	-0.080 	0.624 	0.544 
546 	1 	-1.156 	-1.801 	-2.957 
547 	0 	-0.311 	1.058 	0.746 
548 	1 	0.962 	-3.149 	-2.187 
549 	0 	-0.480 	-4.066 	-4.547 
550 	0 	0.170 	-2.931 	-2.761 
551 	0 	-0.520 	0.181 	-0.339 
552 	1 	-1.012 	-2.133 	-3.145 
553 	1 	1.437 	0.013 	1.450 
554 	0 	0.174 	0.679 	0.853 
555 	0 	1.344 	-1.120 	0.224 
556 	0 	1.798 	3.606 	5.404 
557 	1 	0.432 	0.197 	0.629 
558 	0 	-0.861 	-2.284 	-3.145 
559 	1 	1.500 	0.942 	2.442 
560 	1 	1.088 	-0.067 	1.022 
561 	1 	-1.065 	2.392 	1.327 
562 	1 	-0.545 	0.050 	-0.495 
563 	1 	-0.657 	-0.860 	-1.517 
564 	0 	1.268 	0.771 	2.039 
565 	0 	-1.170 	-2.490 	-3.660 
566 	1 	0.162 	-0.425 	-0.263 
567 	0 	-0.230 	0.093 	-0.138 
568 	1 	-1.474 	-3.564 	-5.039 
569 	0 	0.994 	1.531 	2.525 
570 	1 	0.589 	-1.546 	-0.957 
571 	1 	0.781 	0.779 	1.560 
572 	1 	-0.669 	1.962 	1.293 
573 	1 	-0.310 	0.355 	0.044 
574 	1 	0.925 	-0.447 	0.478 
575 	1 	0.284 	-1.496 	-1.212 
576 	1 	0.548 	0.109 	0.657 
577 	0 	1.126 	0.569 	1.694 
578 	0 	-1.180 	-2.455 	-3.635 
579 	1 	-0.798 	-0.196 	-0.995 
580 	1 	-0.371 	-1.162 	-1.533 
581 	0 	0.186 	1.073 	1.260 
582 	0 	-0.703 	-2.618 	-3.321 
583 	0 	-0.600 	2.548 	1.948 
584 	0 	0.550 	1.881 	2.432 
585 	0 	0.208 	-2.631 	-2.423 
586 	1 	-0.570 	-0.868 	-1.438 
587 	1 	-0.748 	0.061 	-0.687 
588 	0 	0.514 	1.892 	2.407 
589 	1 	-0.018 	0.427 	0.410 
590 	1 	-0.252 	-2.107 	-2.360 
591 	1 	0.303 	-1.445 	-1.142 
592 	1 	0.181 	-1.007 	-0.826 
593 	1 	1.319 	-0.979 	0.340 
594 	1 	-0.313 	-0.757 	-1.070 
595 	0 	0.559 	-1.843 	-1.283 
596 	1 	-0.165 	-2.580 	-2.745 
597 	0 	0.070 	-1.406 	-1.336 
598 	1 	-1.903 	-0.816 	-2.719 
599 	0 	0.903 	1.419 	2.323 
600 	0 	1.144 	2.897 	4.041 
601 	1 	-1.263 	0.158 	-1.105 
602 	1 	-1.090 	-1.949 	-3.039 
603 	1 	-1.185 	1.216 	0.031 
604 	1 	2.899 	0.073 	2.972 
605 	1 	1.065 	0.313 	1.378 
606 	1 	-0.470 	1.510 	1.041 
607 	0 	-0.442 	-0.199 	-0.640 
608 	0 	-1.262 	1.476 	0.214 
609 	0 	-0.426 	1.255 	0.829 
610 	1 	0.274 	-1.527 	-1.253 
611 	1 	1.251 	0.379 	1.629 
612 	0 	0.303 	2.313 	2.616 
613 	0 	-0.485 	-2.555 	-3.040 
614 	1 	-1.316 	-3.390 	-4.706 
615 	1 	0.028 	-0.686 	-0.659 
616 	1 	0.566 	-2.609 	-2.043 
617 	0 	-0.056 	-0.142 	-0.198 
618 	1 	2.520 	2.969 	5.490 
